03/01/2021-15:00:13 | Sensor value: 37337 | Plants got NO water!
03/01/2021-15:30:13 | Sensor value: 37369 | Plants got NO water!
03/01/2021-16:00:13 | Sensor value: 37465 | Plants got NO water!
03/01/2021-16:30:14 | Sensor value: 37177 | Plants got NO water!
03/01/2021-17:00:14 | Sensor value: 37177 | Plants got NO water!
03/01/2021-17:30:14 | Sensor value: 37401 | Plants got NO water!
03/01/2021-18:00:14 | Sensor value: 37353 | Plants got NO water!
03/01/2021-18:30:14 | Sensor value: 37641 | Plants got NO water!
03/01/2021-19:00:14 | Sensor value: 37273 | Plants got NO water!
03/01/2021-19:30:14 | Sensor value: 37385 | Plants got NO water!
03/01/2021-20:00:14 | Sensor value: 37577 | Plants got NO water!
03/01/2021-20:30:14 | Sensor value: 37545 | Plants got NO water!
03/01/2021-21:00:14 | Sensor value: 37465 | Plants got NO water!
03/01/2021-21:30:14 | Sensor value: 37833 | Plants got NO water!
03/01/2021-22:00:14 | Sensor value: 37209 | Plants got NO water!
03/01/2021-22:30:14 | Sensor value: 37449 | Plants got NO water!
03/01/2021-23:00:14 | Sensor value: 37433 | Plants got NO water!
03/01/2021-23:30:14 | Sensor value: 37785 | Plants got NO water!
04/01/2021-00:00:14 | Sensor value: 37721 | Plants got NO water!
04/01/2021-00:30:14 | Sensor value: 38041 | Plants got NO water!
04/01/2021-01:00:14 | Sensor value: 38921 | Plants got NO water!
04/01/2021-01:30:15 | Sensor value: 38761 | Plants got NO water!
04/01/2021-02:00:15 | Sensor value: 38633 | Plants got NO water!
04/01/2021-02:30:15 | Sensor value: 38569 | Plants got NO water!
01/01/2021-00:00:06 | Sensor value: 3648 | Plants got SOME water!
01/01/2021-00:00:06 | Sensor value: 10498 | Plants got SOME water!
